               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  56,            0.044611,             0.15993,           0.0061985,             0.65105,             0.69004,             0.70687,             0.32098,            0.043363,             0.10446,           0.0071213,           0.0084225,           0.0084225,           0.0084225
                  57,            0.044444,             0.15172,           0.0062661,             0.53538,              0.6167,             0.57133,             0.28119,            0.044466,              0.1041,            0.013496,           0.0083684,           0.0083684,           0.0083684
                  58,            0.043251,             0.15086,           0.0058849,             0.57208,              0.6775,             0.67302,             0.32808,            0.045152,             0.10864,           0.0093358,           0.0083136,           0.0083136,           0.0083136
                  59,            0.043936,              0.1555,           0.0061502,             0.62577,             0.68562,             0.70138,             0.26248,            0.051038,             0.10477,           0.0076101,           0.0082581,           0.0082581,           0.0082581
                  60,            0.042959,             0.15905,           0.0061761,             0.57313,             0.67726,             0.66355,              0.2874,            0.047373,             0.10638,            0.010009,           0.0082019,           0.0082019,           0.0082019
                  61,            0.043722,             0.15379,           0.0059326,             0.59591,             0.67726,             0.67275,             0.25291,            0.051573,             0.10361,           0.0081789,            0.008145,            0.008145,            0.008145
                  62,            0.043836,             0.15461,           0.0061747,             0.46422,             0.69531,             0.58053,              0.2192,             0.05116,             0.11134,            0.012628,           0.0080875,           0.0080875,           0.0080875
                  63,            0.043533,             0.15765,           0.0059911,             0.50947,             0.64703,             0.61052,              0.2532,            0.051396,             0.11415,             0.01502,           0.0080294,           0.0080294,           0.0080294
                  64,            0.043015,             0.15829,           0.0058134,             0.61773,             0.67468,             0.68282,             0.31801,            0.046423,             0.11198,           0.0092664,           0.0079706,           0.0079706,           0.0079706
                  65,             0.04249,             0.15001,            0.005884,             0.64624,              0.6499,             0.65773,             0.36511,            0.038623,             0.10771,            0.010289,           0.0079112,           0.0079112,           0.0079112
