               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  49,             0.04304,             0.15035,           0.0064563,             0.68793,             0.77595,             0.81256,             0.46028,            0.039231,             0.12716,             0.00615,           0.0094434,           0.0094434,           0.0094434
                  50,            0.044015,             0.15235,           0.0060918,             0.61608,             0.71794,             0.68938,             0.34539,             0.04309,             0.12971,           0.0099015,           0.0094205,           0.0094205,           0.0094205
                  51,            0.042826,             0.14821,           0.0065327,             0.66591,             0.73272,             0.74954,             0.43718,            0.039205,             0.12064,           0.0089822,           0.0093971,           0.0093971,           0.0093971
                  52,            0.042038,             0.15007,           0.0061975,             0.62267,             0.69063,             0.68823,              0.2765,            0.047261,             0.12778,            0.010134,           0.0093733,           0.0093733,           0.0093733
                  53,            0.041887,             0.14601,           0.0062803,             0.70478,             0.66969,             0.70074,             0.29503,            0.048042,             0.12876,           0.0086892,           0.0093491,           0.0093491,           0.0093491
                  54,            0.042971,             0.14699,           0.0061617,             0.69438,             0.76884,             0.78901,             0.45895,            0.039475,             0.11686,           0.0066626,           0.0093245,           0.0093245,           0.0093245
                  55,            0.042758,             0.14889,           0.0061566,             0.68127,             0.73494,             0.72947,             0.35283,             0.04641,             0.12419,           0.0079804,           0.0092995,           0.0092995,           0.0092995
                  56,            0.043056,             0.14449,           0.0064533,             0.73741,             0.72118,             0.77365,             0.39657,            0.044075,             0.11825,           0.0069382,            0.009274,            0.009274,            0.009274
                  57,            0.042286,             0.14634,           0.0060134,             0.62096,             0.70464,             0.73185,              0.3803,            0.041388,             0.12672,            0.010272,           0.0092481,           0.0092481,           0.0092481
                  58,            0.040975,             0.14709,            0.005864,             0.64104,             0.71763,             0.68858,             0.35976,            0.046692,             0.11672,           0.0080704,           0.0092219,           0.0092219,           0.0092219
                  59,            0.041001,             0.14527,           0.0058055,             0.77731,             0.70082,              0.7737,             0.42423,            0.040026,             0.12578,           0.0065651,           0.0091952,           0.0091952,           0.0091952
                  60,            0.041483,             0.14869,           0.0061988,             0.69876,             0.68284,             0.74221,             0.39692,            0.042167,               0.122,           0.0095704,           0.0091681,           0.0091681,           0.0091681
                  61,            0.040374,             0.14345,           0.0058361,             0.62243,             0.73997,             0.70174,             0.29031,            0.048818,             0.13443,            0.008146,           0.0091406,           0.0091406,           0.0091406
                  62,            0.041035,             0.14624,           0.0056396,             0.67724,             0.67285,             0.71935,             0.37308,             0.04249,              0.1235,           0.0097043,           0.0091127,           0.0091127,           0.0091127
                  63,            0.040316,             0.14555,           0.0059235,             0.71451,             0.78777,             0.82091,             0.42722,            0.040533,             0.11687,           0.0057064,           0.0090844,           0.0090844,           0.0090844
                  64,            0.039749,             0.14878,           0.0053871,             0.59172,             0.74749,             0.72683,             0.43471,            0.038408,             0.12569,           0.0096451,           0.0090557,           0.0090557,           0.0090557
                  65,            0.040513,             0.13879,           0.0059372,             0.72648,             0.72323,             0.76198,             0.39324,            0.044857,             0.12289,           0.0069527,           0.0090266,           0.0090266,           0.0090266
                  66,            0.039727,             0.14313,           0.0056758,              0.6575,             0.75886,             0.76497,             0.43296,            0.038875,              0.1229,           0.0077639,           0.0089972,           0.0089972,           0.0089972
                  67,            0.039621,              0.1424,           0.0054571,             0.67003,             0.80467,             0.80283,             0.44361,            0.041274,             0.12412,           0.0045273,           0.0089673,           0.0089673,           0.0089673
                  68,            0.038884,             0.14196,           0.0054493,             0.70579,             0.69136,             0.73626,             0.38811,             0.04015,             0.12309,           0.0091601,           0.0089371,           0.0089371,           0.0089371
                  69,            0.039789,             0.14172,           0.0055042,             0.62713,             0.73389,             0.71029,             0.34629,            0.042635,             0.12858,           0.0099046,           0.0089065,           0.0089065,           0.0089065
                  70,             0.03908,              0.1402,           0.0052652,             0.70149,             0.73114,             0.76747,              0.3897,            0.043148,             0.12158,           0.0074122,           0.0088755,           0.0088755,           0.0088755
                  71,            0.040185,             0.13889,           0.0054544,             0.69396,             0.72527,             0.75518,             0.41931,            0.040226,             0.11895,           0.0089813,           0.0088442,           0.0088442,           0.0088442
