               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  54,            0.046483,             0.15518,           0.0063087,             0.65995,             0.73924,             0.73597,             0.30677,            0.046629,             0.12495,           0.0069493,           0.0093245,           0.0093245,           0.0093245
                  55,            0.044876,             0.15621,           0.0062396,             0.63406,             0.75548,             0.73169,              0.3494,            0.045162,             0.12072,            0.008976,           0.0092995,           0.0092995,           0.0092995
                  56,            0.045166,             0.15594,           0.0064237,             0.62892,             0.68456,             0.69215,             0.26178,            0.048976,              0.1234,            0.010032,            0.009274,            0.009274,            0.009274
                  57,            0.046374,             0.15579,           0.0058221,             0.71364,             0.71815,             0.76642,             0.39393,             0.04118,             0.11832,           0.0078834,           0.0092481,           0.0092481,           0.0092481
                  58,             0.04432,              0.1524,           0.0059468,             0.62619,             0.75427,             0.74343,             0.38795,            0.041916,             0.11869,           0.0089955,           0.0092219,           0.0092219,           0.0092219
                  59,             0.04439,             0.15126,           0.0061961,             0.65959,             0.73709,             0.75026,             0.45553,             0.03855,             0.12497,           0.0085833,           0.0091952,           0.0091952,           0.0091952
                  60,            0.044966,             0.15007,           0.0061051,             0.65457,             0.74407,             0.75525,             0.39513,            0.039613,             0.12603,             0.00694,           0.0091681,           0.0091681,           0.0091681
                  61,            0.044636,             0.15104,           0.0059419,             0.57714,             0.67505,             0.62827,             0.26847,            0.049288,             0.12125,            0.010106,           0.0091406,           0.0091406,           0.0091406
                  62,            0.044392,              0.1515,           0.0059283,             0.58073,             0.72183,             0.68549,              0.3252,            0.044228,             0.12377,              0.0119,           0.0091127,           0.0091127,           0.0091127
                  63,            0.044573,             0.15219,           0.0060872,             0.69092,             0.74718,             0.78738,              0.4461,            0.037314,             0.12429,           0.0064702,           0.0090844,           0.0090844,           0.0090844
                  64,            0.044185,             0.15442,           0.0057432,             0.63911,              0.7337,             0.72588,             0.33647,            0.044839,             0.12054,           0.0086075,           0.0090557,           0.0090557,           0.0090557
                  65,            0.043037,             0.14681,           0.0057668,             0.62611,              0.6744,             0.68222,             0.27995,            0.050139,             0.12736,           0.0092118,           0.0090266,           0.0090266,           0.0090266
                  66,            0.043958,             0.14757,           0.0058421,              0.6947,             0.73849,             0.75688,              0.3925,            0.040627,             0.12517,           0.0078031,           0.0089972,           0.0089972,           0.0089972
                  67,            0.043894,             0.15202,           0.0060322,             0.60923,             0.69589,             0.67788,             0.34774,            0.041213,             0.12147,             0.01115,           0.0089673,           0.0089673,           0.0089673
                  68,            0.043108,             0.14909,           0.0057227,             0.67686,             0.72024,             0.72986,             0.34542,            0.046111,             0.12429,           0.0076438,           0.0089371,           0.0089371,           0.0089371
                  69,            0.043966,             0.15087,           0.0059624,             0.67065,             0.68238,             0.71907,             0.36563,            0.040912,             0.12397,           0.0096643,           0.0089065,           0.0089065,           0.0089065
                  70,            0.042752,             0.15041,           0.0057866,             0.61488,             0.66709,             0.67452,             0.29197,             0.04662,             0.12716,            0.012312,           0.0088755,           0.0088755,           0.0088755
                  71,            0.042826,             0.15073,           0.0056776,             0.63027,             0.73107,             0.69824,             0.32132,            0.049541,             0.12922,            0.007352,           0.0088442,           0.0088442,           0.0088442
                  72,            0.042747,             0.15129,           0.0056562,             0.65567,             0.67805,             0.67865,             0.32794,            0.045343,             0.12568,           0.0094751,           0.0088124,           0.0088124,           0.0088124
                  73,            0.043358,              0.1514,           0.0055429,             0.61915,             0.68837,             0.65485,             0.30308,            0.051113,             0.12413,           0.0090347,           0.0087804,           0.0087804,           0.0087804
                  74,            0.042049,             0.14839,           0.0056386,             0.54993,             0.67436,             0.65899,             0.25709,            0.050179,             0.12797,            0.012859,           0.0087479,           0.0087479,           0.0087479
                  75,            0.041924,              0.1471,           0.0058133,             0.63443,             0.71157,             0.69395,             0.29146,            0.048976,             0.12194,           0.0096629,           0.0087151,           0.0087151,           0.0087151
